2026-09-10T17:11:59Z PREFLIGHT runner probe (not agent traffic)
2026-09-10T17:11:59.776Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:06.449Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:06.450Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:06.657Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:06.973Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:06.995Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.010Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.011Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.041Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.089Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.175Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:07.220Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:12.497Z DENY HTTP GET http://localhost:8800/dav.php/
2026-09-10T17:12:12.501Z DENY HTTP GET http://localhost:8809/dav/cal/testuser%40example.org//
2026-09-10T17:12:12.504Z DENY HTTP PROPFIND http://localhost:8810/caldav/
2026-09-10T17:12:12.506Z DENY HTTP PROPFIND http://localhost:8802/dav/
2026-09-10T17:12:12.508Z DENY CONNECT zimbra-docker.zimbra.io:8808 host=zimbra-docker.zimbra.io:8808
2026-09-10T17:12:12.510Z DENY HTTP PROPFIND http://localhost:8803/SOGo/
2026-09-10T17:12:12.513Z DENY HTTP PROPFIND http://localhost:8804/ucaldav/
2026-09-10T17:12:12.515Z DENY HTTP GET http://localhost:8807/principals//
2026-09-10T17:12:12.518Z DENY HTTP PROPFIND http://localhost:8805/caldav.php/
2026-09-10T17:12:12.520Z DENY HTTP GET http://localhost:8801/remote.php/dav/
2026-09-10T17:12:12.522Z DENY HTTP GET http://localhost:8806/dav//
2026-09-10T17:12:12.739Z DENY HTTP PROPFIND http://localhost:8993
2026-09-10T17:12:12.742Z DENY HTTP GET http://localhost:5232/user1
2026-09-10T17:12:12.744Z DENY HTTP GET http://localhost:8800/dav.php/
2026-09-10T17:12:12.746Z DENY HTTP GET http://localhost:8809/dav/cal/testuser%40example.org//
2026-09-10T17:12:12.748Z DENY HTTP PROPFIND http://localhost:8810/caldav/
2026-09-10T17:12:12.750Z DENY HTTP PROPFIND http://localhost:8802/dav/
2026-09-10T17:12:12.753Z DENY HTTP PROPFIND http://localhost:8803/SOGo/
2026-09-10T17:12:12.755Z DENY HTTP PROPFIND http://localhost:8804/ucaldav/
2026-09-10T17:12:12.757Z DENY HTTP GET http://localhost:8807/principals//
2026-09-10T17:12:12.759Z DENY HTTP PROPFIND http://localhost:8805/caldav.php/
2026-09-10T17:12:12.762Z DENY HTTP GET http://localhost:8801/remote.php/dav/
2026-09-10T17:12:12.764Z DENY HTTP GET http://localhost:8806/dav//
2026-09-10T17:12:21.898Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T17:12:37.263Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T17:12:38.212Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T17:12:58.116Z DENY HTTP GET http://localhost:8800/dav.php/
