2026-09-10T21:56:48Z PREFLIGHT runner probe (not agent traffic)
2026-09-10T21:56:48.362Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:55.298Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:55.298Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:55.620Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.058Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.068Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.090Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.090Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.118Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.161Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.221Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:56:56.291Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:57:10.654Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:10.655Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:10.989Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T21:57:11.157Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:12.158Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:14.160Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:18.161Z DENY CONNECT pypi.org:443 host=pypi.org:443
2026-09-10T21:57:26.352Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:57:28.028Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T21:57:43.100Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T21:57:57.686Z ALLOW CONNECT api.anthropic.com:443
2026-09-10T21:57:58.158Z DENY CONNECT http-intake.logs.us5.datadoghq.com:443 host=http-intake.logs.us5.datadoghq.com:443
2026-09-10T21:58:24.128Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/main/p/ply/python3-ply_3.11-6_all.deb
2026-09-10T21:58:24.136Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/main/p/pycparser/python3-pycparser_2.21-1_all.deb
2026-09-10T21:58:24.136Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/main/p/python-cffi/python3-cffi_1.16.0-2build1_all.deb
2026-09-10T21:58:24.137Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/universe/p/python-iniconfig/python3-iniconfig_1.1.1-2_all.deb
2026-09-10T21:58:24.137Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:24.137Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/universe/p/python-pluggy/python3-pluggy_1.4.0-1_all.deb
2026-09-10T21:58:24.137Z DENY HTTP GET http://azure.archive.ubuntu.com/ubuntu/pool/universe/p/pytest/python3-pytest_7.4.4-1_all.deb
2026-09-10T21:58:24.138Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:24.138Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:24.138Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:24.138Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:24.139Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
2026-09-10T21:58:25.138Z DENY CONNECT archive.ubuntu.com:443 host=archive.ubuntu.com:443
